jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2016-01-03,925.3249999999999,639.528,59.446000000000005,997.5360000000001,1060.635,731.699,87.549,696.332,863.7819999999999,162.272,238.50300000000001,124.48699999999998,1057.0120000000002,1059.423,131.226,493.39399999999995,79.39299999999999,299.097,176.951,392.90599999999995
2016-01-04,918.967,634.352,54.053,991.856,1058.598,726.049,78.37,695.1579999999999,865.562,158.62300000000002,230.535,120.822,1054.016,1062.699,128.60399999999998,492.11800000000005,75.265,295.91499999999996,172.68900000000002,394.47900000000004
2016-01-05,922.69,637.042,52.238,996.3389999999999,1055.5729999999999,728.489,82.79899999999999,694.874,864.359,161.24099999999999,230.68800000000002,115.48,1051.641,1061.333,130.669,489.561,73.928,296.48600000000005,174.396,389.76
2016-01-06,917.234,636.8470000000001,57.361000000000004,995.756,1059.8670000000002,730.488,83.98700000000001,690.759,865.073,161.298,232.09699999999998,114.751,1054.967,1065.2820000000002,124.982,487.892,72.36099999999999,297.665,176.734,389.104
2016-01-07,920.518,635.9390000000001,54.05199999999999,995.5899999999999,1064.6219999999998,727.1310000000001,83.825,688.159,866.8209999999999,157.047,232.458,119.726,1056.054,1060.526,126.50200000000001,487.45500000000004,69.66,295.961,174.846,391.65900000000005
2016-01-08,925.0860000000001,638.46,60.222,998.7520000000001,1062.706,729.7739999999999,89.287,689.231,866.2719999999999,166.17200000000003,239.526,122.59200000000001,1058.252,1061.556,127.54599999999999,490.84499999999997,73.05,293.643,179.47299999999998,395.508
2016-01-09,925.4469999999999,638.414,58.53,998.9120000000001,1062.7,727.302,87.325,690.959,868.2299999999999,162.676,234.72899999999998,124.30199999999999,1056.4209999999998,1063.897,127.12200000000001,494.53400000000005,79.10000000000001,296.41100000000006,180.357,394.808
2016-01-10,927.2540000000001,635.691,54.614999999999995,994.915,1058.242,720.317,85.576,690.0609999999999,869.7969999999999,160.73900000000003,233.24499999999998,123.31700000000001,1054.836,1058.023,125.194,490.617,72.705,300.502,178.57999999999998,392.13200000000006
2016-01-11,919.6280000000002,634.054,50.391999999999996,989.2149999999999,1056.994,722.5590000000001,81.43400000000001,690.89,863.275,158.409,228.798,117.69200000000001,1053.9989999999998,1057.558,121.596,485.684,66.291,297.316,173.52599999999998,388.209
2016-01-12,918.094,637.378,51.641,996.5079999999999,1061.633,727.5310000000001,84.307,686.788,865.7959999999999,158.491,232.67600000000002,116.136,1055.1589999999999,1052.959,123.46099999999998,484.343,70.498,296.86799999999994,174.01500000000001,389.15500000000003
2016-01-13,920.458,637.964,59.80700000000001,1001.102,1061.923,726.232,85.45,689.8140000000001,863.424,160.22899999999998,237.32399999999998,125.48499999999999,1055.179,1058.83,125.79400000000001,490.68199999999996,69.256,297.299,178.622,395.51
2016-01-14,920.3149999999999,637.5999999999999,59.25900000000001,999.872,1063.728,725.8939999999999,80.954,691.697,869.3190000000001,160.86,238.61100000000002,122.654,1053.4709999999998,1058.9070000000002,123.494,492.09999999999997,73.674,302.139,178.9,394.108
2016-01-15,923.782,637.48,54.885000000000005,994.3700000000001,1061.914,728.885,85.768,694.864,867.618,164.514,234.073,124.33800000000001,1056.376,1061.955,130.02700000000002,490.987,70.54400000000001,298.076,177.744,391.68600000000004
2016-01-16,914.677,630.965,48.63,996.8879999999999,1055.3870000000002,721.911,78.863,690.6750000000001,862.2579999999999,162.573,230.151,114.56500000000001,1053.135,1057.5330000000001,127.71300000000002,486.5,65.482,294.41,176.536,387.1
2016-01-17,923.028,637.625,55.835,998.7309999999999,1060.676,728.161,87.078,702.319,867.2860000000001,160.95399999999998,236.88600000000002,119.86400000000002,1055.133,1062.3899999999999,130.81900000000002,491.532,72.01100000000001,301.58000000000004,178.171,393.614
2016-01-18,920.7239999999999,636.043,53.415,994.6290000000001,1059.593,728.1479999999999,83.86,709.327,867.358,160.164,235.24,116.30699999999999,1055.901,1056.619,132.38,488.74399999999997,73.172,300.868,178.875,391.235
2016-01-19,927.817,644.5350000000001,61.525000000000006,1002.9879999999999,1066.151,738.567,89.45800000000001,708.1579999999999,874.607,163.404,238.599,125.09,1058.6,1066.179,131.33599999999998,493.544,76.38099999999999,303.76300000000003,183.669,399.317
2016-01-20,929.982,652.1100000000001,63.175999999999995,1002.667,1070.792,738.187,94.16499999999999,715.449,876.5,166.104,244.671,129.803,1056.3690000000001,1072.614,135.744,503.37600000000003,84.12400000000001,308.018,183.815,403.96900000000005
2016-01-21,931.1299999999999,648.387,67.545,1010.457,1071.758,738.775,97.541,707.169,880.1200000000001,169.55499999999998,247.021,131.62199999999999,1063.7450000000001,1076.706,131.31400000000002,501.961,80.947,313.153,185.302,406.58099999999996
2016-01-22,934.3520000000001,637.2220000000001,67.133,1011.768,1069.465,734.802,97.187,709.825,873.582,171.717,243.89,127.71199999999999,1066.6299999999999,1069.08,139.503,499.945,86.352,309.361,186.919,405.429
2016-01-23,935.2209999999999,644.1170000000001,62.94800000000001,1007.2860000000002,1072.859,736.4350000000001,94.042,707.072,873.6379999999999,175.846,249.24,125.446,1068.51,1080.267,141.19600000000003,500.6580000000001,85.76100000000001,306.473,187.71099999999998,399.492
2016-01-24,935.099,650.424,65.50800000000001,1013.6479999999999,1073.601,740.899,94.711,708.984,876.561,176.565,250.47199999999998,130.59400000000002,1069.853,1070.155,144.068,504.32500000000005,87.91399999999999,313.189,189.102,407.367
2016-01-25,932.3580000000001,646.504,62.836000000000006,1005.6659999999999,1068.737,738.374,85.87899999999999,702.476,868.216,172.005,242.95500000000004,126.62200000000001,1065.6950000000002,1067.951,139.08900000000003,498.5060000000001,79.79299999999999,303.635,181.53,400.673
2016-01-26,933.973,646.65,64.902,1015.908,1071.051,737.4979999999999,91.501,706.525,876.509,174.624,243.099,135.489,1067.28,1075.053,143.134,501.28400000000005,87.96900000000001,307.641,185.24200000000002,388.711
2016-01-27,938.4120000000001,646.9630000000001,68.762,1022.6549999999999,1073.101,743.82,96.30199999999999,701.61,879.351,175.851,245.142,135.56199999999998,1068.077,1074.2350000000001,140.05599999999998,499.98400000000004,85.29599999999999,313.174,194.533,404.508
2016-01-28,935.782,659.968,63.583,1017.1729999999999,1074.152,744.796,94.7,701.613,878.273,174.905,248.756,131.548,1067.479,1075.831,138.988,499.346,87.164,314.612,190.958,404.02
2016-01-29,934.3799999999999,652.1510000000001,65.456,1014.3440000000002,1080.393,745.636,91.188,707.032,880.9670000000001,179.885,252.76,133.221,1071.9969999999998,1075.1899999999998,143.32600000000002,500.05699999999996,89.617,313.784,193.61700000000002,408.589
2016-01-30,931.0139999999999,648.04,68.52999999999999,1011.0740000000001,1069.7700000000002,736.83,90.73200000000001,695.412,874.697,168.66199999999998,245.379,130.013,1064.242,1069.359,136.006,496.52700000000004,82.16,306.50300000000004,183.251,400.69
2016-01-31,931.316,651.98,65.12,1010.559,1069.132,739.9259999999999,93.18700000000001,695.2689999999999,878.4629999999999,169.133,247.35199999999998,129.468,1062.106,1069.9610000000002,135.275,496.794,83.131,301.53200000000004,180.71300000000002,400.882
2016-02-01,926.379,637.5029999999999,59.391999999999996,1006.305,1066.237,734.718,92.409,694.866,872.43,162.747,236.567,127.442,1059.284,1065.5430000000001,132.731,491.66099999999994,76.08099999999999,301.423,177.49300000000002,396.571
2016-02-02,920.408,636.367,46.733,997.914,1061.858,727.726,82.377,687.828,866.354,158.065,232.087,119.90999999999998,1053.188,1063.1999999999998,124.18499999999999,483.561,67.833,301.12899999999996,170.58599999999998,389.947
2016-02-03,923.799,639.9449999999999,59.653999999999996,1004.7780000000001,1064.4049999999997,732.728,88.045,692.871,871.6510000000001,163.692,239.55900000000003,125.07399999999998,1058.134,1067.545,131.13,487.703,72.629,303.38599999999997,178.77599999999998,393.911
2016-02-04,924.191,646.2979999999999,58.952999999999996,1004.3549999999999,1067.7459999999999,738.4,87.008,693.159,875.2840000000001,164.497,243.91999999999996,126.57499999999999,1060.052,1070.441,131.976,490.084,74.77499999999999,305.11,177.034,393.536
2016-02-05,923.952,648.134,64.399,1003.871,1068.35,735.271,90.49799999999999,693.391,871.1750000000001,165.555,240.18200000000002,134.94500000000002,1061.6319999999998,1065.3700000000001,132.22899999999998,491.59799999999996,80.318,305.326,179.734,398.187
2016-02-06,927.881,643.826,64.404,1008.7459999999999,1069.0720000000001,734.5540000000001,96.473,698.8149999999999,874.5350000000001,166.43800000000002,243.10399999999998,129.261,1063.666,1071.054,133.966,497.34,80.446,310.68600000000004,186.307,400.95
2016-02-07,927.5899999999999,642.848,63.623,1011.417,1073.204,738.016,96.447,696.99,874.466,168.679,245.913,129.913,1062.0259999999998,1067.834,132.464,498.802,80.00399999999999,317.004,185.825,404.13100000000003
2016-02-08,929.7370000000001,640.764,60.348,1011.6399999999999,1069.642,735.2810000000001,94.159,693.954,873.8229999999999,169.211,245.19299999999998,132.68099999999998,1062.412,1069.284,131.948,498.26800000000003,81.731,315.195,187.193,402.75600000000003
2016-02-09,927.882,644.607,62.248000000000005,1008.993,1066.575,737.0210000000001,95.419,694.079,880.409,164.933,250.21900000000002,135.337,1062.325,1066.023,128.46099999999998,494.809,80.66199999999999,309.616,183.232,404.318
2016-02-10,928.018,644.065,60.358000000000004,1007.182,1071.656,736.6120000000001,96.138,698.8140000000001,878.57,170.43800000000002,245.114,135.492,1065.3429999999998,1067.409,138.47699999999998,495.755,84.51,309.251,183.92600000000002,402.71399999999994
2016-02-11,927.975,640.415,57.278,1008.7649999999999,1068.415,728.468,95.711,696.692,872.409,164.947,240.385,137.615,1064.314,1067.8940000000002,132.94,494.18100000000004,81.52100000000002,305.924,181.846,399.482
2016-02-12,923.823,644.443,60.88300000000001,1007.858,1068.519,742.0479999999999,95.52999999999999,697.433,878.982,166.68099999999998,242.592,132.207,1061.33,1066.4049999999997,133.99,491.242,80.308,310.46000000000004,182.498,402.29499999999996
2016-02-13,927.7049999999999,636.6850000000001,63.855,1010.048,1067.648,730.001,91.337,694.1800000000001,877.534,157.775,244.10999999999999,134.80999999999997,1059.291,1064.308,129.28,495.713,73.559,313.00300000000004,178.871,397.123
