jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2016-01-03,997.5360000000001,925.3249999999999,176.951,1057.0120000000002,696.332,162.272,863.7819999999999,124.48699999999998,392.90599999999995,493.39399999999995,238.50300000000001,87.549,299.097,1059.423,1060.635,731.699,131.226,59.446000000000005,639.528,79.39299999999999
2016-01-04,991.856,918.967,172.68900000000002,1054.016,695.1579999999999,158.62300000000002,865.562,120.822,394.47900000000004,492.11800000000005,230.535,78.37,295.91499999999996,1062.699,1058.598,726.049,128.60399999999998,54.053,634.352,75.265
2016-01-05,996.3389999999999,922.69,174.396,1051.641,694.874,161.24099999999999,864.359,115.48,389.76,489.561,230.68800000000002,82.79899999999999,296.48600000000005,1061.333,1055.5729999999999,728.489,130.669,52.238,637.042,73.928
2016-01-06,995.756,917.234,176.734,1054.967,690.759,161.298,865.073,114.751,389.104,487.892,232.09699999999998,83.98700000000001,297.665,1065.2820000000002,1059.8670000000002,730.488,124.982,57.361000000000004,636.8470000000001,72.36099999999999
2016-01-07,995.5899999999999,920.518,174.846,1056.054,688.159,157.047,866.8209999999999,119.726,391.65900000000005,487.45500000000004,232.458,83.825,295.961,1060.526,1064.6219999999998,727.1310000000001,126.50200000000001,54.05199999999999,635.9390000000001,69.66
2016-01-08,998.7520000000001,925.0860000000001,179.47299999999998,1058.252,689.231,166.17200000000003,866.2719999999999,122.59200000000001,395.508,490.84499999999997,239.526,89.287,293.643,1061.556,1062.706,729.7739999999999,127.54599999999999,60.222,638.46,73.05
2016-01-09,998.9120000000001,925.4469999999999,180.357,1056.4209999999998,690.959,162.676,868.2299999999999,124.30199999999999,394.808,494.53400000000005,234.72899999999998,87.325,296.41100000000006,1063.897,1062.7,727.302,127.12200000000001,58.53,638.414,79.10000000000001
2016-01-10,994.915,927.2540000000001,178.57999999999998,1054.836,690.0609999999999,160.73900000000003,869.7969999999999,123.31700000000001,392.13200000000006,490.617,233.24499999999998,85.576,300.502,1058.023,1058.242,720.317,125.194,54.614999999999995,635.691,72.705
2016-01-11,989.2149999999999,919.6280000000002,173.52599999999998,1053.9989999999998,690.89,158.409,863.275,117.69200000000001,388.209,485.684,228.798,81.43400000000001,297.316,1057.558,1056.994,722.5590000000001,121.596,50.391999999999996,634.054,66.291
2016-01-12,996.5079999999999,918.094,174.01500000000001,1055.1589999999999,686.788,158.491,865.7959999999999,116.136,389.15500000000003,484.343,232.67600000000002,84.307,296.86799999999994,1052.959,1061.633,727.5310000000001,123.46099999999998,51.641,637.378,70.498
