jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2017-02-28,-166.805,-606.181,-802.8890000000001,-383.764,786.978,469.842,-1020.3899999999999,-746.798,380.35200000000003
2017-03-01,-166.68800000000002,-604.7510000000001,-806.288,-383.08799999999997,788.443,470.86400000000003,-1019.225,-744.507,384.416
2017-03-02,-167.38699999999997,-603.87,-807.027,-383.962,787.6999999999999,467.741,-1021.275,-746.421,378.50300000000004
2017-03-03,-167.97799999999998,-603.924,-803.158,-385.64699999999993,790.15,474.47399999999993,-1020.13,-746.7239999999999,375.71999999999997
2017-03-04,-167.31799999999998,-603.033,-806.531,-385.835,789.2979999999999,470.64700000000005,-1021.0790000000001,-745.3989999999999,381.59
2017-03-05,-167.569,-602.0360000000001,-810.384,-386.238,787.835,467.916,-1021.3290000000002,-745.415,381.179
2017-03-06,-169.298,-604.402,-804.9490000000001,-383.50300000000004,787.399,471.01000000000005,-1020.7040000000001,-746.452,384.787
2017-03-07,-168.303,-602.229,-801.831,-385.79600000000005,790.1850000000001,469.21299999999997,-1024.467,-745.441,380.975
2017-03-08,-167.214,-603.647,-796.931,-383.457,789.0390000000001,470.465,-1021.156,-747.026,384.175
2017-03-09,-167.208,-604.267,-798.25,-381.61100000000005,788.119,474.738,-1018.667,-746.432,384.355
2017-03-10,-168.74,-603.3439999999999,-793.7800000000001,-383.853,786.911,477.051,-1018.88,-747.4380000000001,390.242
2017-03-11,-167.652,-605.0020000000001,-796.0229999999999,-382.92600000000004,789.143,479.071,-1018.757,-746.885,388.719
2017-03-12,-167.60799999999998,-604.935,-796.919,-383.04499999999996,787.064,477.54799999999994,-1019.0790000000001,-746.131,387.16
2017-03-13,-171.234,-603.985,-786.805,-384.996,786.235,472.84799999999996,-1019.849,-747.939,387.627
2017-03-14,-168.60899999999998,-603.1310000000001,-800.044,-383.748,787.686,471.32700000000006,-1019.232,-746.289,385.173
2017-03-15,-167.923,-603.102,-796.3399999999999,-383.141,787.5409999999999,476.035,-1020.3360000000001,-746.362,388.639
2017-03-16,-169.011,-601.838,-795.2819999999999,-385.027,788.2810000000001,475.52299999999997,-1021.2969999999999,-746.819,388.094
2017-03-17,-169.984,-600.461,-795.725,-385.35999999999996,787.226,467.808,-1021.0980000000001,-749.576,384.327
2017-03-18,-168.496,-601.737,-796.8420000000001,-384.61,788.433,474.525,-1019.08,-747.4159999999999,384.227
2017-03-19,-169.254,-603.784,-798.3560000000001,-382.301,787.527,470.61199999999997,-1019.0489999999999,-746.458,383.859
2017-03-20,-168.429,-605.85,-786.7810000000001,-384.454,788.5029999999999,472.66499999999996,-1021.2139999999998,-745.3149999999999,385.05
2017-03-21,-166.863,-605.4209999999999,-794.302,-383.21,788.35,474.361,-1021.0110000000001,-746.3989999999999,393.598
2017-03-22,-170.257,-604.65,-795.43,-382.502,784.6659999999999,469.6770000000001,-1018.5409999999999,-749.136,385.936
2017-03-23,-168.349,-606.1479999999999,-791.4939999999999,-383.491,787.552,470.27799999999996,-1019.723,-747.732,384.563
2017-03-24,-169.646,-604.223,-792.703,-385.19000000000005,787.329,470.35200000000003,-1020.5169999999999,-748.4,384.025
2017-03-25,-171.103,-603.111,-799.495,-384.45799999999997,786.065,471.552,-1020.049,-748.787,385.361
2017-03-26,-169.351,-601.348,-793.1270000000001,-385.365,787.509,474.421,-1021.909,-747.7,389.312
2017-03-27,-168.17499999999998,-601.494,-792.3580000000001,-383.59099999999995,789.302,472.94599999999997,-1020.6600000000001,-745.605,383.465
2017-03-28,-170.10699999999997,-601.009,-866.003,-384.17199999999997,786.98,478.623,-1020.2979999999999,-747.533,387.392
2017-03-29,-167.74800000000002,-599.697,-867.3360000000001,-385.151,789.5810000000001,478.061,-1021.9739999999999,-747.484,391.95399999999995
