jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2017-02-28,-383.764,786.9780000000001,469.842,-849.2539999999999,-661.935,960.433,-1020.39,-746.798,380.352
2017-03-01,-383.088,788.443,470.86400000000003,-848.816,-661.8510000000001,957.7639999999999,-1019.225,-744.507,384.416
2017-03-02,-383.962,787.7,467.741,-849.758,-659.568,952.1060000000001,-1021.275,-746.421,378.50300000000004
2017-03-03,-385.647,790.15,474.474,-850.3480000000001,-660.092,959.554,-1020.13,-746.7239999999999,375.72
2017-03-04,-385.835,789.298,470.647,-849.926,-659.097,956.939,-1021.079,-745.3989999999999,381.59
2017-03-05,-386.23800000000006,787.835,467.916,-850.4630000000001,-658.2,949.5930000000001,-1021.329,-745.415,381.17900000000003
2017-03-06,-383.50300000000004,787.3989999999999,471.01,-852.044,-660.1489999999999,958.012,-1020.704,-746.452,384.787
2017-03-07,-385.796,790.185,469.213,-849.5369999999999,-657.2669999999999,954.93,-1024.4669999999999,-745.441,380.975
2017-03-08,-383.457,789.039,470.465,-851.1510000000001,-658.7660000000001,962.3380000000001,-1021.1560000000001,-747.0260000000001,384.175
2017-03-09,-381.611,788.1189999999999,474.73800000000006,-849.755,-659.7819999999999,963.525,-1018.6669999999999,-746.432,384.355
2017-03-10,-383.853,786.9110000000001,477.051,-850.5369999999999,-658.107,962.801,-1018.88,-747.438,390.24199999999996
2017-03-11,-382.926,789.143,479.07099999999997,-850.7260000000001,-660.3960000000001,965.581,-1018.757,-746.885,388.719
2017-03-12,-383.045,787.064,477.548,-850.62,-660.867,964.69,-1019.079,-746.1310000000001,387.16
2017-03-13,-384.996,786.235,472.848,-853.3389999999999,-660.195,971.9630000000001,-1019.8489999999999,-747.939,387.62699999999995
2017-03-14,-383.74800000000005,787.686,471.327,-851.551,-658.6360000000001,964.987,-1019.232,-746.289,385.173
2017-03-15,-383.14099999999996,787.541,476.035,-850.153,-658.992,964.335,-1020.336,-746.362,388.639
2017-03-16,-385.027,788.2810000000001,475.523,-851.951,-658.24,968.932,-1021.297,-746.819,388.094
2017-03-17,-385.36,787.2260000000001,467.80800000000005,-852.6039999999999,-657.175,964.227,-1021.0980000000001,-749.576,384.327
2017-03-18,-384.61,788.433,474.525,-851.01,-657.971,965.413,-1019.08,-747.416,384.227
2017-03-19,-382.301,787.5269999999999,470.61199999999997,-851.2389999999999,-660.091,964.467,-1019.049,-746.4580000000001,383.85900000000004
2017-03-20,-384.454,788.503,472.665,-851.346,-661.45,971.028,-1021.2139999999999,-745.315,385.05
2017-03-21,-383.21,788.35,474.361,-849.1339999999999,-661.4839999999999,975.677,-1021.0110000000001,-746.3989999999999,393.598
2017-03-22,-382.50199999999995,784.666,469.67699999999996,-853.8660000000001,-660.671,963.674,-1018.541,-749.1360000000001,385.936
2017-03-23,-383.491,787.552,470.278,-851.368,-662.512,968.26,-1019.7230000000001,-747.732,384.56300000000005
2017-03-24,-385.19,787.329,470.352,-852.7919999999999,-658.888,961.373,-1020.5169999999999,-748.4,384.025
2017-03-25,-384.458,786.065,471.55199999999996,-853.694,-658.867,962.9069999999999,-1020.049,-748.7869999999999,385.361
2017-03-26,-385.365,787.5089999999999,474.421,-851.4939999999999,-657.1489999999999,963.938,-1021.909,-747.7,389.31199999999995
2017-03-27,-383.591,789.302,472.94599999999997,-850.29,-657.048,972.837,-1020.66,-745.605,383.465
