gap_size,Mean,Median,RollingMean,RollingMedian,Linear,Time,Quadratic,Cubic,SLinear,Akima,Poly,Spline,fbprophet,SSA,TCN
1,14.70840945,14.656009,4.706334424,4.772577345,3.493059868,3.493059868,3.956863887,4.07454649,3.492036665,3.607822451,4.07454649,3.988311604,4.725076691,4.680811235,4.357157351
2,14.66627532,14.62124377,4.814670457,4.868705391,3.79674802,3.79674802,4.81027964,4.926443651,3.796791798,4.034799385,4.926443651,4.772940719,4.817512777,4.751048497,4.775032291
3,14.64679363,14.61520722,4.84396344,4.875829136,3.998985919,3.998985919,5.443112745,5.639133673,3.997834959,4.30964152,5.639133673,5.446005846,4.845497226,4.783456333,5.167708561
4,14.42737251,14.42920251,4.84468626,4.906064054,4.200500541,4.200500541,6.240849621,6.47701264,4.191079926,4.612932465,6.47701264,6.513123201,4.898985917,4.807219198,5.548669089
5,14.65481306,14.64877433,4.992537397,5.045276085,4.316292801,4.316292801,6.956630304,7.296349239,4.316951173,4.851070608,7.296349239,7.314348823,4.923956794,4.876995199,5.704728303
6,14.65168193,14.64315432,4.993106466,5.054552734,4.414488145,4.414488145,7.616784804,8.005231442,4.413720989,5.047216954,8.005231442,7.675996937,4.938105791,4.864128132,5.952116744
10,14.46048749,14.42042015,5.065151435,5.120753892,4.748991656,4.748991656,10.47591024,11.08661756,4.747843255,5.83627689,11.08661756,14.83975801,5.007203285,4.867346415,6.785921662
15,14.65088526,14.63591998,5.274378362,5.3068681,5.002729565,5.002729565,14.30710214,15.31465021,4.986003987,6.71371739,15.31465021,18.16058811,5.168802849,5.092919476,7.590075064
30,15.20808517,15.20739228,5.584638156,5.61709418,5.299834109,5.299834109,25.12286826,27.68007365,5.299834109,9.096502301,27.68007365,23.44756609,5.339513809,5.35162017,10.16544501
50,14.31237777,14.36864041,5.596842512,5.642335549,5.639951803,5.639951803,38.68194794,44.77201023,5.6334296,12.30335429,44.77201023,50.41694932,5.709227732,5.4167276,12.90209645
time,9.572107553,9.538312435,9.739647865,10.15661311,9.704997778,9.707452059,10.12495995,10.1223979,9.812886715,9.935847521,10.02320695,67.10572124,2188.541904,863.0104196,539.3691251
gap_count,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300
count,92274,92274,92274,92274,92274,92274,92274,92274,92274,92274,92274,92274,92274,92274,92274
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
gap_size,1,2,3,4,5,6,10,15,30,50,time,gap_count,count,,
Mean,14.70840945,14.66627532,14.64679363,14.42737251,14.65481306,14.65168193,14.46048749,14.65088526,15.20808517,14.31237777,9.572107553,19300,92274,,
Median,14.656009,14.62124377,14.61520722,14.42920251,14.64877433,14.64315432,14.42042015,14.63591998,15.20739228,14.36864041,9.538312435,19300,92274,,
RollingMean,4.706334424,4.814670457,4.84396344,4.84468626,4.992537397,4.993106466,5.065151435,5.274378362,5.584638156,5.596842512,9.739647865,19300,92274,,
RollingMedian,4.772577345,4.868705391,4.875829136,4.906064054,5.045276085,5.054552734,5.120753892,5.3068681,5.61709418,5.642335549,10.15661311,19300,92274,,
Linear,3.493059868,3.79674802,3.998985919,4.200500541,4.316292801,4.414488145,4.748991656,5.002729565,5.299834109,5.639951803,9.704997778,19300,92274,,
Quadratic,3.956863887,4.81027964,5.443112745,6.240849621,6.956630304,7.616784804,10.47591024,14.30710214,25.12286826,38.68194794,10.12495995,19300,92274,,
Cubic,4.07454649,4.926443651,5.639133673,6.47701264,7.296349239,8.005231442,11.08661756,15.31465021,27.68007365,44.77201023,10.1223979,19300,92274,,
SLinear,3.492036665,3.796791798,3.997834959,4.191079926,4.316951173,4.413720989,4.747843255,4.986003987,5.299834109,5.6334296,9.812886715,19300,92274,,
Akima,3.607822451,4.034799385,4.30964152,4.612932465,4.851070608,5.047216954,5.83627689,6.71371739,9.096502301,12.30335429,9.935847521,19300,92274,,
Spline,3.988311604,4.772940719,5.446005846,6.513123201,7.314348823,7.675996937,14.83975801,18.16058811,23.44756609,50.41694932,67.10572124,19300,92274,,
fbprophet,4.725076691,4.817512777,4.845497226,4.898985917,4.923956794,4.938105791,5.007203285,5.168802849,5.339513809,5.709227732,2188.541904,19300,92274,,
SSA,4.680811235,4.751048497,4.783456333,4.807219198,4.876995199,4.864128132,4.867346415,5.092919476,5.35162017,5.4167276,863.0104196,19300,92274,,
TCN,4.357157351,4.775032291,5.167708561,5.548669089,5.704728303,5.952116744,6.785921662,7.590075064,10.16544501,12.90209645,539.3691251,19300,92274,,
