,Linear,SLinear,GAN
1,5.424637659414853,5.424637659414854,6.655512566975847
2,4.982240810202551,4.982240810202552,6.3203365401741145
3,5.590026006501623,5.590026006501625,6.403824415609817
4,5.328982495623905,5.328982495623905,6.167142250982367
5,5.350193548387098,5.350193548387098,6.4308559136372185
6,5.4992705676419105,5.499270567641911,6.302128029244816
10,4.81815503875969,4.81815503875969,6.314381540723548
15,6.067163290822707,6.0671632908227044,6.705753796076591
30,5.04004176044011,5.040041760440111,6.3514339017406
50,5.230815953988497,5.230815953988497,6.3814601183566015
time,5.40675687789917,5.332350254058838,12.659521341323853
gap_count,1290,1290,1290
count,44032,44032,44032
