,Linear,SLinear,RegEM
1,1.8362495057334913,1.8362771761525651,2.097398473494927
2,2.045825945626477,2.044714572434442,2.1328815433210355
3,2.0717947524056926,2.0711556047197655,2.068674456356442
4,2.1530675534689605,2.1532927450980384,2.060196521912812
5,2.2816542129291935,2.280423303595565,2.14810888402608
6,2.2593857451921964,2.2595245719830874,2.137804825267764
10,2.451077027417026,2.4497849845156434,2.232009614015936
15,2.579190842533867,2.5784782771093826,2.2479333163038593
30,2.890564355390499,2.890564355390499,2.50792206628034
50,2.9616279629629623,2.961627962962963,2.449910603277541
time,13.168339490890503,14.198649406433105,588.7472960948944
gap_count,8000,8000,8000
count,33824,33824,33824
