gap_size,Mean,Median,Linear,Time,Quadratic,Cubic,SLinear,Poly,Spline,Pchip,Akima,RegEM
1,10.86501482,10.86534758,2.177788436,2.177788436,3.015812508,3.125389151,2.178109022,3.125389151,2.746604051,2.261818096,2.361034505,2.985540862
2,10.79152896,10.79351836,2.110831406,2.110831406,2.905477636,3.007880734,2.110893907,3.007880734,2.683810231,2.204277328,2.283733554,2.919372408
3,11.03756739,11.04351189,2.011607096,2.011607096,2.785306877,2.888095219,2.011148275,2.888095219,2.51329892,2.097873811,2.182531104,2.723146825
4,11.10844549,11.10316976,2.043710202,2.043710202,2.825520491,2.932003981,2.041407835,2.932003981,2.766533464,2.150275597,2.21304499,2.66558
5,11.18867777,11.19556771,2.130010086,2.130010086,2.938227263,3.045832265,2.129975703,3.045832265,2.666778756,2.218103271,2.305328934,2.99270245
6,10.89551134,10.89361907,2.111417126,2.111417126,2.919300414,3.027609385,2.11092102,3.027609385,2.665927254,2.203384993,2.285732143,2.873407285
10,10.72634654,10.72705745,2.138868485,2.138868485,2.95839883,3.066759705,2.138078594,3.066759705,2.787938845,2.248560422,2.316905761,2.745961523
15,10.77507032,10.77592274,2.128684948,2.128684948,2.932811998,3.05056606,2.127870425,3.05056606,2.74792367,2.217747213,2.300823448,2.7670024
30,10.84734839,10.8454102,2.182538047,2.182538047,3.012989807,3.123966703,2.182311547,3.123966703,2.811480729,2.28290009,2.364185784,2.876243532
50,10.98711364,10.98998636,2.070540974,2.070540974,2.859917109,2.964124165,2.069217317,2.964124165,2.699702105,2.17848435,2.237277053,2.89919454
time,31.38448524,32.40902328,33.09452319,33.57751846,36.51854396,36.40028262,34.97618246,36.17153144,120.7528989,35.5210681,37.40011954,6212.29794
gap_count,30522,30522,30522,30522,30522,30522,30522,30522,30522,30522,30522,30522
count,152166,152166,152166,152166,152166,152166,152166,152166,152166,152166,152166,152166
