"n0","e0","u0","n1","e1","u1","n2","e2","u2"
-383.764,786.978,469.842,-849.254,-661.935,960.433,-1020.39,-746.798,380.352
-383.088,788.443,470.864,-848.816,-661.851,957.764,-1019.225,-744.507,384.416
-383.962,787.7,467.741,-849.758,-659.568,952.106,-1021.275,-746.421,378.503
-385.647,790.15,474.474,-850.348,-660.092,959.554,-1020.13,-746.724,375.72
-385.835,789.298,470.647,-849.926,-659.097,956.939,-1021.079,-745.399,381.59
-386.238,787.835,467.916,-850.463,-658.2,949.593,-1021.329,-745.415,381.179
-383.503,787.399,471.01,-852.044,-660.149,958.012,-1020.704,-746.452,384.787
-385.796,790.185,469.213,-849.537,-657.267,954.93,-1024.467,-745.441,380.975
-383.457,789.039,470.465,-851.151,-658.766,962.338,-1021.156,-747.026,384.175
-381.611,788.119,474.738,-849.755,-659.782,963.525,-1018.667,-746.432,384.355
-383.853,786.911,477.051,-850.537,-658.107,962.801,-1018.88,-747.438,390.242
-382.926,789.143,479.071,-850.726,-660.396,965.581,-1018.757,-746.885,388.719
-383.045,787.064,477.548,-850.62,-660.867,964.69,-1019.079,-746.131,387.16
-384.996,786.235,472.848,-853.339,-660.195,971.963,-1019.849,-747.939,387.627
-383.748,787.686,471.327,-851.551,-658.636,964.987,-1019.232,-746.289,385.173
-383.141,787.541,476.035,-850.153,-658.992,964.335,-1020.336,-746.362,388.639
-385.027,788.281,475.523,-851.951,-658.24,968.932,-1021.297,-746.819,388.094
-385.36,787.226,467.808,-852.604,-657.175,964.227,-1021.098,-749.576,384.327
-384.61,788.433,474.525,-851.01,-657.971,965.413,-1019.08,-747.416,384.227
-382.301,787.527,470.612,-851.239,-660.091,964.467,-1019.049,-746.458,383.859
-384.454,788.503,472.665,-851.346,-661.45,971.028,-1021.214,-745.315,385.05
-383.21,788.35,474.361,-849.134,-661.484,975.677,-1021.011,-746.399,393.598
-382.502,784.666,469.677,-853.866,-660.671,963.674,-1018.541,-749.136,385.936
-383.491,787.552,470.278,-851.368,-662.512,968.26,-1019.723,-747.732,384.563
-385.19,787.329,470.352,-852.792,-658.888,961.373,-1020.517,-748.4,384.025
-384.458,786.065,471.552,-853.694,-658.867,962.907,-1020.049,-748.787,385.361
-385.365,787.509,474.421,-851.494,-657.149,963.938,-1021.909,-747.7,389.312
-383.591,789.302,472.946,-850.29,-657.048,972.837,-1020.66,-745.605,383.465
-384.172,786.98,478.623,-852.503,-657.379,971.165,-1020.298,-747.533,387.392
-385.151,789.581,478.061,-849.792,-656.183,969.727,-1021.974,-747.484,391.954
-384.298,786.743,474.276,-851.971,-659.994,973.29,-1022.435,-749.013,393.375
-383.71,786.955,480.261,-850.41,-658.449,970.42,-1019.962,-747.559,393.089
-385.303,787.122,476.865,-850.618,-658.307,968.567,-1021.579,-747.621,395.339
-384.881,785.553,481.469,-853.195,-658.811,976.47,-1021.141,-748.224,395.343
-383.703,786.839,477.765,-851.638,-659.098,968.518,-1019.511,-748.023,393.815
-382.65,789.736,476.744,-852.141,-657.861,973.042,-1021.169,-746.46,393.604
-385.634,786.885,476.163,-852.575,-658.612,969.25,-1021.347,-749.362,390.797
-385.11,787.448,475.834,-851.569,-657.694,967.494,-1020.959,-748.003,391.01
-385.485,786.931,478.076,-851.901,-657.872,970.364,-1021.268,-749.907,394.586
-385.812,788.182,475.421,-852.476,-657.322,973.778,-1021.599,-750.145,396.969
-388.445,786.942,478.071,-852.697,-655.992,974.6,-1024.108,-750.384,395.075
-385.411,787.134,477.05,-851.17,-657.125,973.958,-1020.893,-748.797,393.1
-384.773,788.203,483.833,-849.714,-656.908,978.572,-1021.302,-746.771,394.473
-384.446,785.727,479.091,-851.165,-657.731,968.874,-1019.819,-750.14,396.731
-385.479,787.657,480.712,-851.079,-657.184,967.552,-1020.873,-748.843,395.152
-385.546,788.589,480.542,-850.197,-657.116,970.951,-1023.062,-746.892,393.366
-385.114,787.645,479.218,-851.061,-658.387,968.405,-1020.084,-747.971,393.33
-387.356,787.956,491.058,-853.075,-656.745,969.618,-1021.123,-749.661,392.699
-386.148,787.773,480.442,-851.032,-656.677,966.592,-1021.67,-748.928,395.384
-386.413,788.764,473.171,-851.649,-657.452,969.097,-1022.245,-748.725,391.259
-385.996,787.652,478.261,-851.893,-657.879,967.999,-1021.385,-748.902,389.776
-383.529,787.232,479.745,-849.969,-660.329,974.254,-1019.127,-746.045,394.418
-382.929,787.928,477.458,-849.929,-658.99,965.06,-1019.589,-747.303,393.741
-385.53,787.697,478.267,-850.236,-658.415,974.321,-1021.365,-748.385,397.222
-383.629,787.736,479.351,-849.937,-657.936,971.389,-1020.025,-748.534,398.025
-385.496,787.406,477.566,-849.778,-658.001,969.603,-1021.699,-747.928,388.882
-385.432,787.331,476.469,-850.894,-657.127,967.643,-1021.365,-747.925,392.138
-385.773,787.726,479.17,-851.74,-656.419,966.975,-1022.037,-749.567,392.287
-386.311,786.937,475.581,-851.461,-657.299,960.916,-1020.661,-748.783,388.552
-386.411,787.037,479.674,-852.482,-655.911,960.523,-1021.977,-749.248,389.778
-386.572,787.423,475.481,-853.611,-657.594,965.042,-1022.636,-749.605,394.307
-385.801,788.064,471.819,-851.061,-657.485,962.207,-1020.278,-748.731,388.802
-384.37,788.64,475.052,-851.197,-657.968,965.702,-1019.859,-748.519,394.496
-384.33,787.017,479.222,-850.766,-657.756,963.41,-1020.497,-747.905,391.907
-385.693,786.547,482.489,-852.789,-657.969,972.075,-1020.854,-748.844,396.468
-383.691,786.451,479.563,-851.196,-659.682,969.265,-1019.45,-748.56,395.152
-383.012,787.484,479.914,-850.583,-657.411,968.338,-1019.642,-747.557,394.049
