jd,n0,e0,u0,n1,e1,u1,n2,e2,u2,n3,e3,u3
2016-02-19,-378.438,725.275,202.75,-270.293,-394.737,632.8580000000001,-657.914,-262.69000000000005,918.7629999999999,-772.768,106.68399999999998,131.51
2016-02-20,-384.32,725.375,209.781,-273.599,-392.23800000000006,632.978,-662.658,-263.34200000000004,921.948,-771.245,108.62899999999999,123.415
2016-02-21,-381.33299999999997,726.1419999999999,207.97899999999998,-273.902,-393.472,632.74,-660.226,-262.586,917.0350000000001,-775.49,107.048,120.573
2016-02-22,-380.914,726.7060000000001,210.38600000000002,-272.478,-393.24,638.4,-659.973,-261.79200000000003,923.025,-774.6800000000001,106.84100000000001,124.24600000000001
2016-02-23,-381.7,725.6120000000001,205.18200000000002,-273.02600000000007,-394.605,631.498,-660.109,-262.36199999999997,919.1370000000001,-775.062,106.44200000000001,117.99900000000001
2016-02-24,-380.57199999999995,724.216,208.25300000000001,-273.283,-394.368,634.749,-658.249,-262.539,921.3280000000001,-774.9789999999999,105.957,126.40799999999999
2016-02-25,-378.179,723.9499999999999,208.527,-271.129,-395.143,635.035,-657.942,-263.25399999999996,923.9379999999999,-773.2470000000001,105.004,123.95100000000001
2016-02-26,-381.653,725.598,205.381,-273.781,-392.78000000000003,633.9970000000001,-660.836,-262.24,919.697,-775.266,107.147,120.86300000000001
2016-02-27,-381.131,725.9899999999999,203.432,-270.858,-391.841,629.194,-659.319,-262.927,913.711,-771.6260000000001,107.46900000000001,123.546
2016-02-28,-380.05,726.129,206.00300000000001,-271.893,-392.887,634.707,-659.18,-262.616,920.3209999999999,-773.418,107.71700000000001,122.649
2016-02-29,-378.886,725.6100000000001,202.356,-270.51399999999995,-392.87300000000005,630.5840000000001,-657.9739999999999,-261.921,915.561,-772.251,108.23599999999999,117.39300000000001
2016-03-01,-378.58400000000006,722.0810000000001,204.99,-270.23800000000006,-394.158,633.024,-657.1890000000001,-264.823,916.9069999999999,-775.212,105.755,135.362
2016-03-02,-380.53999999999996,723.7289999999999,210.75900000000001,-273.76800000000003,-394.345,633.091,-660.894,-264.10900000000004,920.4110000000001,-775.0590000000001,105.78199999999998,123.202
2016-03-03,-378.92900000000003,723.151,214.01999999999998,-272.981,-394.801,635.718,-660.139,-263.598,923.443,-774.6529999999999,105.48699999999998,126.427
2016-03-04,-379.952,726.4699999999999,206.66799999999998,-271.283,-394.722,629.893,-656.808,-263.414,913.2170000000001,-772.8399999999999,105.665,115.53800000000001
2016-03-05,-377.349,726.985,209.11599999999999,-269.42699999999996,-392.513,634.985,-657.064,-260.936,922.984,-770.861,107.24799999999999,121.68900000000001
2016-03-06,-379.11400000000003,726.489,207.012,-271.873,-392.581,630.009,-658.114,-261.775,921.316,-772.162,108.671,119.16300000000001
2016-03-07,-380.38,724.318,207.127,-270.312,-394.932,634.2479999999999,-659.2180000000001,-263.583,923.3829999999999,-774.399,105.83699999999999,128.299
2016-03-08,-379.904,725.167,210.161,-273.312,-395.24,630.5390000000001,-659.71,-264.09299999999996,922.109,-774.4989999999999,106.012,123.21300000000002
2016-03-09,-383.08500000000004,724.6179999999999,207.094,-275.175,-394.87,630.925,-661.362,-263.34400000000005,918.858,-776.525,105.724,121.89000000000001
2016-03-10,-378.106,725.722,206.288,-269.769,-394.393,629.2710000000001,-656.8100000000001,-263.099,918.394,-770.717,106.01500000000001,120.043
2016-03-11,-379.587,724.897,209.496,-271.006,-395.63599999999997,637.0029999999999,-654.189,-260.174,921.538,-773.29,105.494,129.75699999999998
2016-03-12,-379.56,725.578,210.904,-271.237,-393.643,636.049,-654.462,-256.23600000000005,924.4469999999999,-772.35,106.91300000000001,129.394
2016-03-13,-377.827,725.6819999999999,212.50700000000003,-270.764,-393.943,637.0930000000001,-653.9110000000001,-256.29999999999995,923.7049999999999,-771.426,106.566,127.57099999999998
2016-03-14,-377.71700000000004,726.022,213.26799999999997,-270.142,-393.671,639.582,-652.8739999999999,-255.19799999999998,921.3389999999999,-771.3539999999999,107.11199999999998,128.699
2016-03-15,-380.546,724.78,210.38299999999998,-271.05600000000004,-395.522,637.507,-656.081,-256.418,920.335,-773.2289999999999,105.89100000000002,125.71400000000003
2016-03-16,-377.50700000000006,724.981,207.05900000000003,-268.50300000000004,-395.184,631.193,-653.829,-258.59299999999996,918.443,-768.214,107.96700000000001,124.032
2016-03-17,-377.04499999999996,725.823,207.47899999999998,-268.83299999999997,-396.13300000000004,638.231,-655.925,-261.752,921.8620000000001,-771.458,106.651,125.797
2016-03-18,-379.028,723.9449999999999,205.569,-270.45000000000005,-394.845,635.828,-656.206,-263.474,917.9799999999999,-772.245,105.521,127.34100000000001
2016-03-19,-378.84299999999996,723.842,204.527,-269.607,-395.144,632.867,-657.8340000000001,-263.759,917.8389999999999,-771.703,104.98299999999999,122.41199999999999
2016-03-20,-377.47600000000006,723.444,209.28000000000003,-267.393,-397.26500000000004,639.73,-656.3489999999999,-263.374,918.8430000000001,-771.8699999999999,103.495,127.806
2016-03-21,-376.53600000000006,724.644,210.24,-267.971,-395.227,636.793,-655.165,-261.69599999999997,919.3280000000001,-770.488,105.43599999999999,127.62100000000001
2016-03-22,-378.822,723.198,211.57899999999998,-270.332,-394.41700000000003,634.582,-658.0229999999999,-263.788,920.195,-771.7,104.81199999999998,129.23499999999999
2016-03-23,-380.017,723.165,211.51999999999998,-272.976,-395.85900000000004,633.328,-658.293,-262.936,920.0790000000001,-773.744,105.762,132.144
2016-03-24,-381.65,723.592,203.94400000000002,-273.953,-395.339,637.2,-660.153,-263.09299999999996,916.51,-773.926,105.651,123.606
2016-03-25,-380.385,722.82,212.26500000000001,-272.231,-394.376,642.792,-659.8779999999999,-261.864,928.8290000000002,-775.104,106.289,129.72400000000002
2016-03-26,-380.923,724.321,211.98000000000002,-274.15,-393.423,637.206,-660.386,-262.22,919.2719999999999,-772.76,106.53800000000001,123.94300000000001
2016-03-27,-376.803,721.051,211.844,-271.524,-395.163,640.1289999999999,-658.48,-262.812,926.7610000000001,-768.3140000000001,106.834,121.91199999999999
2016-03-28,-380.20799999999997,724.9399999999999,208.76199999999997,-269.924,-394.928,636.49,-657.888,-261.795,921.6850000000001,-770.76,107.20100000000001,116.78
2016-03-29,-380.971,724.662,208.812,-272.25500000000005,-393.941,632.6229999999999,-657.942,-261.097,920.754,-774.755,106.32600000000001,127.891
2016-03-30,-379.965,724.585,210.52499999999998,-270.66599999999994,-394.20900000000006,633.394,-657.732,-262.348,917.278,-766.223,106.947,124.36400000000002
2016-03-31,-379.679,725.5279999999999,205.69099999999997,-271.565,-393.387,633.355,-657.408,-261.239,913.65,-772.814,105.51700000000001,123.428
2016-04-01,-380.269,724.357,208.673,-271.336,-394.60200000000003,634.356,-658.514,-262.498,913.521,-773.528,105.465,120.834
2016-04-02,-377.47700000000003,725.069,207.032,-269.846,-393.827,631.6310000000001,-657.0050000000001,-261.233,914.9459999999999,-771.018,106.33900000000001,122.80499999999999
2016-04-03,-378.482,725.5409999999999,202.328,-270.78200000000004,-392.76300000000003,631.872,-657.4,-260.60900000000004,912.618,-772.265,107.124,116.747
2016-04-04,-380.23699999999997,724.0880000000001,207.288,-271.23800000000006,-394.714,634.902,-659.016,-262.127,916.0129999999999,-772.988,105.10699999999999,122.25999999999999
2016-04-05,-381.92600000000004,724.349,212.523,-271.87100000000004,-394.887,638.792,-660.934,-261.326,922.0440000000001,-774.1439999999999,105.93599999999999,132.45399999999998
2016-04-06,-380.24600000000004,725.9879999999999,210.808,-271.87100000000004,-393.347,637.326,-660.095,-260.835,917.4549999999999,-772.35,107.473,122.392
2016-04-07,-380.14899999999994,724.9369999999999,208.50900000000001,-271.171,-393.41900000000004,634.079,-658.721,-260.788,918.0350000000001,-773.033,106.38399999999999,127.504
2016-04-08,-378.599,723.383,215.603,-270.25,-394.40999999999997,639.9970000000001,-657.048,-261.941,923.149,-770.961,105.98699999999998,130.48900000000003
2016-04-09,-379.06999999999994,723.817,211.342,-271.278,-394.06399999999996,640.683,-657.819,-261.93899999999996,922.8430000000001,-772.454,105.921,129.959
2016-04-10,-379.35200000000003,723.29,215.64899999999997,-269.691,-394.21799999999996,639.155,-656.482,-261.84000000000003,922.6129999999999,-772.953,103.61099999999999,129.54399999999998
2016-04-11,-378.67699999999996,723.8710000000001,212.465,-270.2,-394.43,639.245,-656.1100000000001,-262.375,922.95,-772.146,104.5,129.411
2016-04-12,-381.414,722.255,208.277,-272.048,-395.66100000000006,633.3800000000001,-657.422,-262.09299999999996,917.034,-773.009,104.14800000000001,124.79
2016-04-13,-380.731,724.7090000000001,212.95799999999997,-271.145,-393.434,634.7810000000001,-657.771,-261.68800000000005,920.8420000000001,-772.76,106.65299999999999,127.853
2016-04-14,-381.195,724.9399999999999,205.69899999999996,-272.75100000000003,-393.796,631.436,-659.201,-261.441,913.84,-773.201,105.323,119.997
